driver_id;car_id;first_name;last_name;experience;score;date_of_birthday;adress;document_number
2016;6291;Jack;Harris;31;3.69;1993-02-25;444 Lake View, Denver, CO 80201;839306
6893;613;Jessica;Nelson;47;4.28;1965-09-01;222 Park Avenue, Boston, MA 02101;319943
6887;3806;Charles;Lee;28;3.7;1971-07-04;666 Ocean Avenue, Miami, FL 33101;874460
1222;7243;Jennifer;Roberts;39;4.26;1960-12-24;753 Willow Avenue, San Diego, CA 92101;162641
5943;3138;Virginia;Flores;25;4.14;1969-04-30;246 Spruce Road, Dallas, TX 75201;717757
9685;3762;Richard;Lee;8;3.9;2001-10-14;321 Elm Boulevard, Houston, TX 77001;889642
9488;9686;Ronald;Hall;7;4.63;1982-08-31;246 Spruce Road, Dallas, TX 75201;538999
8062;675;Rebecca;Campbell;12;3.1;1960-11-22;864 Palm Drive, San Jose, CA 95101;655837
8647;5656;Angela;Nelson;3;4.18;2007-03-12;456 Oak Avenue, Los Angeles, CA 90001;335987
6085;5508;Betty;Harris;17;3.99;1993-03-26;456 Oak Avenue, Los Angeles, CA 90001;923284
9130;6599;Ashley;Wilson;7;3.96;2005-09-23;Burj Khalifa 1, Dubai, UAE;419323
2407;7641;Katherine;Walker;31;4.5;1962-10-29;654 Maple Drive, Phoenix, AZ 85001;484786
8072;3063;Donald;Gonzalez;31;3.89;2003-04-11;246 Spruce Road, Dallas, TX 75201;50488
1725;244;Katherine;White;45;4.3;1989-07-20;Sydney Opera House, Sydney, Australia 2000;15755
1204;2912;Patricia;Brown;43;4.69;1990-02-06;Shibuya Crossing 2, Tokyo, Japan 150-0043;47761
8773;7942;Elizabeth;Carter;45;3.41;1970-10-31;123 Main Street, New York, NY 10001;36257
4265;3523;Jack;Harris;5;3.03;1999-02-24;333 River Road, Seattle, WA 98101;795603
1942;1521;Timothy;Jackson;28;3.21;1996-03-15;Red Square 1, Moscow, Russia 109012;114725
1798;485;Michael;Rodriguez;14;4.85;1989-08-08;666 Ocean Avenue, Miami, FL 33101;354580
3073;3961;Christopher;Taylor;1;3.14;1977-07-26;Champs-Élysées 75, Paris, France 75008;204451
2961;7275;Michelle;Nelson;34;3.65;1994-07-31;Sydney Opera House, Sydney, Australia 2000;136395
66;7692;Patricia;Nelson;49;3.93;1987-10-06;159 Birch Street, San Antonio, TX 78201;955838
1270;7234;Ryan;Harris;40;4.75;1972-07-15;Sagrada Família 401, Barcelona, Spain 08013;7463
9275;5785;Betty;Miller;48;4.18;1966-07-25;Shibuya Crossing 2, Tokyo, Japan 150-0043;473067
9644;3263;Mark;King;18;3.5;1964-05-17;Gyeongbokgung Palace 161, Seoul, South Korea 03045;796426
5439;7352;Carolyn;Green;28;4.71;1977-01-20;333 River Road, Seattle, WA 98101;32415
7690;2455;Christine;Rodriguez;21;3.37;1998-01-11;789 Pine Road, Chicago, IL 60601;237856
7077;9032;Nicholas;Brown;31;4.9;1975-09-22;Forbidden City 4, Beijing, China 100006;814314
8605;3574;Debra;Nguyen;39;3.64;1986-05-02;Piazza San Marco 1, Venice, Italy 30124;615546
7368;7349;Laura;Rodriguez;0;4.09;1985-02-11;321 Elm Boulevard, Houston, TX 77001;690801
9810;9410;Carolyn;Sanchez;39;4.04;1975-11-19;Taj Mahal, Agra, India 282001;55180
4019;8029;Jeffrey;Allen;39;4.08;1975-05-06;Sagrada Família 401, Barcelona, Spain 08013;439491
1083;7230;Kathleen;Miller;0;4.93;1984-01-21;333 River Road, Seattle, WA 98101;623331
6059;9279;Jeffrey;Gonzalez;11;4.5;1991-10-12;Piazza San Marco 1, Venice, Italy 30124;967789
3108;7383;Gregory;Martinez;29;4.04;1999-02-12;CN Tower 301, Toronto, Canada M5V 2T6;621290
4746;76;Joshua;Robinson;18;3.51;1990-03-11;666 Ocean Avenue, Miami, FL 33101;931829
5240;122;Charles;Martin;17;4.65;2006-03-31;Table Mountain Rd, Cape Town, South Africa 8001;223326
7975;8183;Jessica;Jones;28;3.15;2000-10-30;222 Park Avenue, Boston, MA 02101;940641
3364;7128;Amanda;Williams;2;4.9;1984-02-24;123 Main Street, New York, NY 10001;875156
4201;5765;Sharon;Adams;40;3.89;1970-05-22;987 Cedar Lane, Philadelphia, PA 19101;391723
997;8686;Robert;Campbell;41;4.18;1985-04-13;222 Park Avenue, Boston, MA 02101;918972
9633;4565;Sarah;Anderson;8;4.02;1969-07-17;864 Palm Drive, San Jose, CA 95101;425212
3033;7129;Ashley;Thomas;10;4.01;1980-05-06;Brandenburger Tor 1, Berlin, Germany 10117;721872
4452;6042;Michael;Smith;37;3.25;1971-06-03;Brandenburger Tor 1, Berlin, Germany 10117;376271
7522;9234;Samantha;Flores;26;4.38;1967-10-04;123 Main Street, New York, NY 10001;366178
3636;525;Steven;Martinez;0;4.78;1992-05-19;Taj Mahal, Agra, India 282001;950095
1729;7422;Kenneth;Harris;26;4.1;1963-05-06;Champs-Élysées 75, Paris, France 75008;880086
6967;6203;Maria;Lewis;30;4.47;1969-05-09;Table Mountain Rd, Cape Town, South Africa 8001;608748
4444;4014;Deborah;Nelson;50;4.67;1984-12-05;444 Lake View, Denver, CO 80201;518546
4437;8508;Catherine;Rivera;20;4.83;1974-01-11;Sagrada Família 401, Barcelona, Spain 08013;55334
9;3811;Lisa;Johnson;10;3.27;1992-12-17;333 River Road, Seattle, WA 98101;495034
4543;1665;Carolyn;Moore;22;4.1;1979-07-16;246 Spruce Road, Dallas, TX 75201;164347
3635;5261;Mark;Rodriguez;20;3.45;1991-03-04;864 Palm Drive, San Jose, CA 95101;322843
5117;9004;Nicole;Davis;12;3.11;1966-09-24;Shibuya Crossing 2, Tokyo, Japan 150-0043;690166
8129;7273;Jack;Williams;50;4.43;1990-04-30;Sagrada Família 401, Barcelona, Spain 08013;833050
1691;7414;Amanda;Ramirez;15;4.89;1965-05-07;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;662608
7979;5670;David;Clark;50;4.11;1991-11-03;654 Maple Drive, Phoenix, AZ 85001;78278
1806;8251;Mark;Moore;27;4.94;1986-05-31;Taj Mahal, Agra, India 282001;16873
5671;3658;Daniel;Thompson;26;4.0;1979-06-24;Table Mountain Rd, Cape Town, South Africa 8001;778561
7690;3836;Jason;Allen;31;5.0;1968-11-04;555 Mountain Street, Washington, DC 20001;8695
300;834;Katherine;Johnson;6;4.57;1988-09-24;Piazza San Marco 1, Venice, Italy 30124;840233
7703;9671;Matthew;King;38;4.51;1990-09-25;666 Ocean Avenue, Miami, FL 33101;907564
2010;9960;Rachel;Martin;38;4.8;1968-04-17;444 Lake View, Denver, CO 80201;652627
4857;5514;Ashley;Robinson;46;3.44;1972-03-09;123 Main Street, New York, NY 10001;285779
4148;6257;Elizabeth;Roberts;18;4.16;1979-07-10;753 Willow Avenue, San Diego, CA 92101;480337
4822;9861;Margaret;Thompson;36;3.3;1969-05-19;321 Elm Boulevard, Houston, TX 77001;99119
6336;1144;Christine;Scott;50;3.76;1963-05-19;159 Birch Street, San Antonio, TX 78201;570136
8589;2604;Michael;Williams;38;4.44;1963-06-21;321 Elm Boulevard, Houston, TX 77001;102317
9237;7594;Ashley;Allen;30;4.5;1981-04-13;222 Park Avenue, Boston, MA 02101;896372
6987;8524;Janet;Scott;11;3.99;1984-04-20;Burj Khalifa 1, Dubai, UAE;339793
5911;2227;Cynthia;Nguyen;46;4.03;1976-04-19;123 Main Street, New York, NY 10001;501926
177;6296;Raymond;Wilson;24;3.74;1970-01-26;666 Ocean Avenue, Miami, FL 33101;898167
2440;6871;Kevin;Young;5;4.44;1963-07-19;789 Pine Road, Chicago, IL 60601;501594
3820;2555;William;White;19;3.37;1990-11-27;Brandenburger Tor 1, Berlin, Germany 10117;71272
1908;71;Helen;Campbell;0;4.42;1975-07-09;Sydney Opera House, Sydney, Australia 2000;915385
9136;8640;Katherine;Smith;0;3.1;1961-10-11;Table Mountain Rd, Cape Town, South Africa 8001;188938
9809;9043;Brandon;Flores;4;4.95;1991-07-28;654 Maple Drive, Phoenix, AZ 85001;574856
2815;862;Alexander;Lopez;19;3.41;2005-04-22;666 Ocean Avenue, Miami, FL 33101;523137
33;3397;Brian;Thompson;1;3.56;1964-02-05;555 Mountain Street, Washington, DC 20001;553964
2517;1341;Brian;Miller;13;4.26;1999-12-04;987 Cedar Lane, Philadelphia, PA 19101;821377
6401;7884;Justin;Jackson;47;3.42;1983-07-28;Champs-Élysées 75, Paris, France 75008;625636
5047;7831;Edward;Taylor;1;3.96;1985-08-10;Sagrada Família 401, Barcelona, Spain 08013;371510
9024;1009;Mary;Anderson;46;4.76;1988-02-12;CN Tower 301, Toronto, Canada M5V 2T6;333578
9604;569;Janet;Davis;15;4.93;1997-12-30;321 Elm Boulevard, Houston, TX 77001;13347
8271;9161;Michelle;Taylor;11;4.2;2006-08-08;123 Main Street, New York, NY 10001;435112
9929;6675;Mark;Flores;25;5.01;2001-08-12;Taj Mahal, Agra, India 282001;750229
9405;3923;Brenda;Nguyen;11;3.7;1976-01-14;Table Mountain Rd, Cape Town, South Africa 8001;560598
